BTCUSDT funding history (8h, UTC) - REAL (Binance+Bybit+OKX, OI-weighted where available)
timestamp (UTC)     close        funding_rate     percent
2026-02-10 00:00      68882.10   -0.00002502    -0.00250%
2026-02-10 08:00      69251.50   -0.00002666    -0.00267%
2026-02-10 16:00      68805.30   -0.00006901    -0.00690%
2026-02-11 00:00      67000.00   +0.00001300    +0.00130%
2026-02-11 08:00      66489.30   -0.00004957    -0.00496%
2026-02-11 16:00      67054.40   -0.00000318    -0.00032%
2026-02-12 00:00      67181.50   -0.00000227    -0.00023%
2026-02-12 08:00      67107.00   +0.00005317    +0.00532%
2026-02-12 16:00      66243.10   +0.00002835    +0.00284%
2026-02-13 00:00      66183.30   +0.00004307    +0.00431%
2026-02-13 08:00      68652.00   +0.00003368    +0.00337%
2026-02-13 16:00      68821.50   +0.00000594    +0.00059%
2026-02-14 00:00      69182.20   +0.00000803    +0.00080%
2026-02-14 08:00      69754.20   +0.00001072    +0.00107%
2026-02-14 16:00      69795.40   +0.00001879    +0.00188%
2026-02-15 00:00      70784.00   +0.00002546    +0.00255%
2026-02-15 08:00      69068.10   +0.00003723    +0.00372%
2026-02-15 16:00      68796.90   -0.00000445    -0.00044%
2026-02-16 00:00      68552.40   +0.00004054    +0.00405%
2026-02-16 08:00      67505.50   +0.00000564    +0.00056%
2026-02-16 16:00      68862.50   -0.00002299    -0.00230%
2026-02-17 00:00      68353.40   +0.00004150    +0.00415%
2026-02-17 08:00      67363.60   +0.00002967    +0.00297%
2026-02-17 16:00      67475.90   +0.00002992    +0.00299%
2026-02-18 00:00      68078.40   +0.00002421    +0.00242%
2026-02-18 08:00      67671.00   -0.00000350    -0.00035%
2026-02-18 16:00      66422.80   +0.00003177    +0.00318%
2026-02-19 00:00      67180.40   -0.00001847    -0.00185%
2026-02-19 08:00      66362.70   +0.00003113    +0.00311%
2026-02-19 16:00      66974.00   -0.00000704    -0.00070%
2026-02-20 00:00      67794.70   +0.00006445    +0.00645%
2026-02-20 08:00      67547.60   +0.00004735    +0.00474%
2026-02-20 16:00      67979.30   +0.00003212    +0.00321%
2026-02-21 00:00      67821.00   +0.00006914    +0.00691%
2026-02-21 08:00      68571.50   +0.00005842    +0.00584%
2026-02-21 16:00      67933.10   +0.00004959    +0.00496%
2026-02-22 00:00      67973.00   +0.00002471    +0.00247%
2026-02-22 08:00      67659.90   +0.00000356    +0.00036%
2026-02-22 16:00      67613.50   +0.00003918    +0.00392%
2026-02-23 00:00      65915.80   +0.00004280    +0.00428%
2026-02-23 08:00      65633.10   -0.00008329    -0.00833%
2026-02-23 16:00      64625.80   +0.00001907    +0.00191%
2026-02-24 00:00      63155.30   +0.00002703    +0.00270%
2026-02-24 08:00      63933.40   -0.00003084    -0.00308%
2026-02-24 16:00      64031.30   +0.00000299    +0.00030%
2026-02-25 00:00      65001.10   +0.00001354    +0.00135%
2026-02-25 08:00      67362.30   +0.00003032    +0.00303%
2026-02-25 16:00      67952.50   +0.00000908    +0.00091%
2026-02-26 00:00      67800.00   +0.00001655    +0.00165%
2026-02-26 08:00      67353.40   +0.00004251    +0.00425%
2026-02-26 16:00      67448.20   +0.00003930    +0.00393%
2026-02-27 00:00      67644.10   +0.00001221    +0.00122%
2026-02-27 08:00      66072.60   -0.00003600    -0.00360%
2026-02-27 16:00      65836.00   +0.00000221    +0.00022%
2026-02-28 00:00      63788.40   +0.00003267    +0.00327%
2026-02-28 08:00      64800.00   -0.00003043    -0.00304%
2026-02-28 16:00      66937.10   -0.00003163    -0.00316%
2026-03-01 00:00      67113.90   +0.00000861    +0.00086%
2026-03-01 08:00      66810.80   +0.00006008    +0.00601%
2026-03-01 16:00      65750.00   +0.00004513    +0.00451%
2026-03-02 00:00      66541.30   -0.00000036    -0.00004%

PNG saved to: assets/runtime_real_multi_8h.png
